date,hours,total_cms_mean,total_cms_min,total_cms_max,turbined_cms_mean,spilled_cms_mean,spill_share_pct
2026-04-22,9,1422.7,1388.5,1448.6,123.8,1298.9,91.3
2026-04-23,24,1406.8,1369.7,1424.1,137.1,1269.7,90.3
2026-04-24,24,1354.6,1342.7,1369.1,224.1,1130.5,83.5
2026-04-25,24,1335.9,1325.3,1347.5,224.5,1111.4,83.2
2026-04-26,24,1330.4,1327.5,1333.0,224.6,1105.7,83.1
2026-04-27,24,1341.4,1326.6,1364.8,187.7,1153.7,86.0
2026-04-28,24,1359.6,1352.7,1365.8,119.1,1240.5,91.2
2026-04-29,24,1357.2,1337.5,1368.8,162.4,1194.9,88.0
2026-04-30,24,1346.1,1340.4,1352.1,236.1,1110.0,82.5
2026-05-01,24,1352.2,1348.8,1356.5,236.5,1115.7,82.5
2026-05-02,24,1356.2,1353.0,1358.6,233.5,1122.7,82.8
2026-05-03,11,1356.1,1351.6,1361.6,231.2,1124.9,82.9
