station_name,nearest_town,vigilance_id,wsc_id,datum_offset_masl,peak_2017,peak_2019,peak_2023,observed_2025_may_05
Mattawa town hydrometer,Mattawa ON,545,02JE013,100,153.95,155.55,154.69,154.35
Des Joachims (The Swisha) DAM & GS,Rolphton ON,,,,152.35,152.28,152.23,150.93
Pembroke,Pembroke ON,,,,113.03,113.69,113.31,112.87
Fort Coulonge,Fort Coulonge QC,1195,FOR_COUL.1,0,108.52,109.17,108.77,108.16
Bryson Gen Stn,Bryson QC,,,,105.61,105.64,105.50,104.49
Chenaux Gen Stn,Portage QC / Four Corners ON,,,,86.55,86.48,86.46,85.67
Chats Falls DAM & GS,Fitzroy Harbor ON,,,,75.95,76.28,75.90,75.25
Constance Bay,Constance Bay ON,,,,NA,60.75,60.40,59.89
Lac Deschenes Britannia,Britannia ON,548,02KF005,0,60.44,60.68,60.35,59.77
Gatineau Hull,Gatineau QC,550,02LA015,0,45.20,45.17,44.68,43.54
Thurso,Thurso QC / Rockland ON,981,,0,43.69,43.66,43.19,42.26
Grenville,Hawkesbury ON,,,,42.81,42.75,42.41,41.70
Carillon level,Carillon QC,,,,41.14,41.09,41.15,40.50
Carillon below dam level,Point Fortune (below Carillon) QC,1264,,0,25.11,25.11,24.71,23.75
Maniwaki Gatineau River,Maniwaki QC,,,,166.17,166.47,165.21,164.93
